dependency_name,parsed_date,version,serializable_cnt,add_class,remove_class,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,next_version,download_url
ch.qos.logback.logback-classic,2016-02-13,1.1.5,8,0.0,0.0,0.0,0.0,0.0,0.0,1.1.6,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.1.5/logback-classic-1.1.5.jar
ch.qos.logback.logback-classic,2016-02-29,1.1.6,8,0.0,0.0,0.0,0.0,0.0,0.0,1.1.7,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.1.6/logback-classic-1.1.6.jar
ch.qos.logback.logback-classic,2016-03-29,1.1.7,8,0.0,0.0,0.0,0.0,0.0,0.0,1.1.8,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.1.7/logback-classic-1.1.7.jar
ch.qos.logback.logback-classic,2016-12-09,1.1.8,8,0.0,0.0,0.0,0.0,0.0,0.0,1.1.9,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.1.8/logback-classic-1.1.8.jar
ch.qos.logback.logback-classic,2017-01-20,1.1.9,8,0.0,0.0,0.0,0.0,0.0,0.0,1.1.10,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.1.9/logback-classic-1.1.9.jar
ch.qos.logback.logback-classic,2017-02-05,1.1.10,8,0.0,0.0,0.0,0.0,0.0,0.0,1.1.11,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.1.10/logback-classic-1.1.10.jar
ch.qos.logback.logback-classic,2017-03-01,1.1.11,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.0,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.1.11/logback-classic-1.1.11.jar
ch.qos.logback.logback-classic,2017-02-08,1.2.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.1,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.0/logback-classic-1.2.0.jar
ch.qos.logback.logback-classic,2017-02-09,1.2.1,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.2,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.1/logback-classic-1.2.1.jar
ch.qos.logback.logback-classic,2017-03-16,1.2.2,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.3,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.2/logback-classic-1.2.2.jar
ch.qos.logback.logback-classic,2017-03-31,1.2.3,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.4,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.3/logback-classic-1.2.3.jar
ch.qos.logback.logback-classic,2021-07-19,1.2.4,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.5,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.4/logback-classic-1.2.4.jar
ch.qos.logback.logback-classic,2021-07-26,1.2.5,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.6,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.5/logback-classic-1.2.5.jar
ch.qos.logback.logback-classic,2021-09-09,1.2.6,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.7,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.6/logback-classic-1.2.6.jar
ch.qos.logback.logback-classic,2021-11-11,1.2.7,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.8,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.7/logback-classic-1.2.7.jar
ch.qos.logback.logback-classic,2021-12-14,1.2.8,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.9,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.8/logback-classic-1.2.8.jar
ch.qos.logback.logback-classic,2021-12-17,1.2.9,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.10,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.9/logback-classic-1.2.9.jar
ch.qos.logback.logback-classic,2021-12-23,1.2.10,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.11,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.10/logback-classic-1.2.10.jar
ch.qos.logback.logback-classic,2022-03-05,1.2.11,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.12,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.11/logback-classic-1.2.11.jar
ch.qos.logback.logback-classic,2023-03-23,1.2.12,8,0.0,0.0,0.0,0.0,0.0,0.0,1.2.13,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.12/logback-classic-1.2.12.jar
ch.qos.logback.logback-classic,2023-12-01,1.2.13,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.0,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.13/logback-classic-1.2.13.jar
ch.qos.logback.logback-classic,2022-08-28,1.3.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.1,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.0/logback-classic-1.3.0.jar
ch.qos.logback.logback-classic,2022-09-14,1.3.1,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.2,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.1/logback-classic-1.3.1.jar
ch.qos.logback.logback-classic,2022-10-02,1.3.2,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.3,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.2/logback-classic-1.3.2.jar
ch.qos.logback.logback-classic,2022-10-02,1.3.3,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.4,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.3/logback-classic-1.3.3.jar
ch.qos.logback.logback-classic,2022-10-07,1.3.4,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.5,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.4/logback-classic-1.3.4.jar
ch.qos.logback.logback-classic,2022-11-18,1.3.5,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.6,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.5/logback-classic-1.3.5.jar
ch.qos.logback.logback-classic,2023-03-15,1.3.6,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.7,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.6/logback-classic-1.3.6.jar
ch.qos.logback.logback-classic,2023-04-19,1.3.7,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.8,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.7/logback-classic-1.3.7.jar
ch.qos.logback.logback-classic,2023-06-13,1.3.8,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.9,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.8/logback-classic-1.3.8.jar
ch.qos.logback.logback-classic,2023-08-04,1.3.9,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.10,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.9/logback-classic-1.3.9.jar
ch.qos.logback.logback-classic,2023-08-09,1.3.10,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.11,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.10/logback-classic-1.3.10.jar
ch.qos.logback.logback-classic,2023-08-09,1.3.11,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.12,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.11/logback-classic-1.3.11.jar
ch.qos.logback.logback-classic,2023-11-27,1.3.12,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.13,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.12/logback-classic-1.3.12.jar
ch.qos.logback.logback-classic,2023-11-28,1.3.13,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.14,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.13/logback-classic-1.3.13.jar
ch.qos.logback.logback-classic,2023-12-01,1.3.14,8,0.0,0.0,0.0,0.0,0.0,0.0,1.3.15,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.14/logback-classic-1.3.14.jar
ch.qos.logback.logback-classic,2024-12-30,1.3.15,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.0,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.3.15/logback-classic-1.3.15.jar
ch.qos.logback.logback-classic,2022-08-28,1.4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.1,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.0/logback-classic-1.4.0.jar
ch.qos.logback.logback-classic,2022-09-14,1.4.1,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.2,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.1/logback-classic-1.4.1.jar
ch.qos.logback.logback-classic,2022-10-02,1.4.2,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.3,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.2/logback-classic-1.4.2.jar
ch.qos.logback.logback-classic,2022-10-02,1.4.3,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.4,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.3/logback-classic-1.4.3.jar
ch.qos.logback.logback-classic,2022-10-10,1.4.4,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.5,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.4/logback-classic-1.4.4.jar
ch.qos.logback.logback-classic,2022-11-18,1.4.5,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.6,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.5/logback-classic-1.4.5.jar
ch.qos.logback.logback-classic,2023-03-15,1.4.6,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.7,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.6/logback-classic-1.4.6.jar
ch.qos.logback.logback-classic,2023-04-19,1.4.7,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.8,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.7/logback-classic-1.4.7.jar
ch.qos.logback.logback-classic,2023-06-13,1.4.8,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.9,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.8/logback-classic-1.4.8.jar
ch.qos.logback.logback-classic,2023-08-04,1.4.9,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.10,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.9/logback-classic-1.4.9.jar
ch.qos.logback.logback-classic,2023-08-09,1.4.10,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.11,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.10/logback-classic-1.4.10.jar
ch.qos.logback.logback-classic,2023-08-09,1.4.11,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.12,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.11/logback-classic-1.4.11.jar
ch.qos.logback.logback-classic,2023-11-27,1.4.12,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.13,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.12/logback-classic-1.4.12.jar
ch.qos.logback.logback-classic,2023-11-28,1.4.13,8,0.0,0.0,0.0,0.0,0.0,0.0,1.4.14,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.13/logback-classic-1.4.13.jar
ch.qos.logback.logback-classic,2023-12-01,1.4.14,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.0,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.14/logback-classic-1.4.14.jar
ch.qos.logback.logback-classic,2024-02-16,1.5.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.1,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.0/logback-classic-1.5.0.jar
